shopname,areaID,area,prefectureID,prefecture,cosme,skincare,,,
モユク札幌ロフト,area-1,北海道・東北地方,area-1,北海道,,SKINCARE,,,
ハンズ札幌店,area-1,北海道・東北地方,area-1,北海道,COSME,,,,
アットコスメストア TSUTAYA 函館蔦屋書店,area-1,北海道・東北地方,area-1,北海道,,SKINCARE,,,
アットコスメストア TSUTAYA 札幌美しが丘店,area-1,北海道・東北地方,area-1,北海道,,SKINCARE,,,
盛岡ロフト,area-1,北海道・東北地方,area-3,岩手,,SKINCARE,,,
仙台長町ロフト,area-1,北海道・東北地方,area-4,宮城,,SKINCARE,,,
仙台ロフト,area-1,北海道・東北地方,area-4,宮城,COSME,SKINCARE,,,
ハンズ仙台店,area-1,北海道・東北地方,area-4,宮城,COSME,,,,
秋田ロフト,area-1,北海道・東北地方,area-5,秋田,,SKINCARE,,,
伊勢崎ロフト,area-2,関東地方,area-10,群馬,,SKINCARE,,,
ハンズ高崎店,area-2,関東地方,area-10,群馬,COSME,,,,
鷲宮ロフト,area-2,関東地方,area-11,埼玉,,SKINCARE,,,
川口ロフト,area-2,関東地方,area-11,埼玉,,SKINCARE,,,
深谷ロフト,area-2,関東地方,area-11,埼玉,,SKINCARE,,,
ハンズ大宮店,area-2,関東地方,area-11,埼玉,COSME,,,,
ハンズららぽ-と富士見店,area-2,関東地方,area-11,埼玉,COSME,,,,
シャンドエルブ 武蔵浦和店,area-2,関東地方,area-11,埼玉,COSME,,,,
シャンドエルブ 熊谷店,area-2,関東地方,area-11,埼玉,COSME,,,,
流山ロフト,area-2,関東地方,area-12,千葉,,SKINCARE,,,
柏沼南ロフト,area-2,関東地方,area-12,千葉,,SKINCARE,,,
千葉ロフト,area-2,関東地方,area-12,千葉,COSME,SKINCARE,,,
新三郷ロフト,area-2,関東地方,area-12,千葉,,SKINCARE,,,
市川ロフト,area-2,関東地方,area-12,千葉,,SKINCARE,,,
市原ロフト,area-2,関東地方,area-12,千葉,,SKINCARE,,,
ロフト幕張店,area-2,関東地方,area-12,千葉,,SKINCARE,,,
ハンズ柏店,area-2,関東地方,area-12,千葉,COSME,,,,
ハンズ千葉店,area-2,関東地方,area-12,千葉,COSME,,,,
ハンズビビット南船橋店,area-2,関東地方,area-12,千葉,COSME,,,,
シャンドエルブ 西船橋店,area-2,関東地方,area-12,千葉,COSME,,,,
シャンドエルブ 浦安店,area-2,関東地方,area-12,千葉,COSME,,,,
武蔵境ロフト,area-2,関東地方,area-13,東京,,SKINCARE,,,
八王子ロフト,area-2,関東地方,area-13,東京,,SKINCARE,,,
二子玉川ロフト,area-2,関東地方,area-13,東京,,SKINCARE,,,
池袋ロフト,area-2,関東地方,area-13,東京,COSME,SKINCARE,,,
上野ロフト,area-2,関東地方,area-13,東京,,SKINCARE,,,
渋谷ロフト,area-2,関東地方,area-13,東京,COSME,SKINCARE,,,
国分寺ロフト,area-2,関東地方,area-13,東京,,SKINCARE,,,
高田馬場ロフト,area-2,関東地方,area-13,東京,,SKINCARE,,,
経堂ロフト,area-2,関東地方,area-13,東京,,SKINCARE,,,
銀座ロフト,area-2,関東地方,area-13,東京,COSME,SKINCARE,,,
錦糸町ロフト,area-2,関東地方,area-13,東京,,SKINCARE,,,
吉祥寺ロフト,area-2,関東地方,area-13,東京,COSME,SKINCARE,,,
亀有ロフト,area-2,関東地方,area-13,東京,,SKINCARE,,,
ロフト木場店,area-2,関東地方,area-13,東京,,SKINCARE,,,
ロフト大森店,area-2,関東地方,area-13,東京,,SKINCARE,,,
ロフト葛西店,area-2,関東地方,area-13,東京,,SKINCARE,,,
ハンズ北千住店,area-2,関東地方,area-13,東京,COSME,,,,
ハンズ町田店,area-2,関東地方,area-13,東京,COSME,,,,
ハンズ新宿店,area-2,関東地方,area-13,東京,COSME,SKINCARE,,,
ハンズ渋谷店,area-2,関東地方,area-13,東京,COSME,,,,
ハンズ渋谷スクランブルスクエア店,area-2,関東地方,area-13,東京,COSME,,,,
ハンズ銀座店,area-2,関東地方,area-13,東京,COSME,,,,
ハンズららぽ-と立川立飛店,area-2,関東地方,area-13,東京,COSME,,,,
ハンズららぽ-と豊洲店,area-2,関東地方,area-13,東京,COSME,,,,
ハンズ 東京店,area-2,関東地方,area-13,東京,COSME,,,,
ソラマチロフト,area-2,関東地方,area-13,東京,,SKINCARE,,,
シャンドエルブ 恵比寿店,area-2,関東地方,area-13,東京,COSME,SKINCARE,,,
シャンドエルブ 田端店,area-2,関東地方,area-13,東京,COSME,,,,
シャンドエルブ 大森店,area-2,関東地方,area-13,東京,COSME,,,,
シャンドエルブ 上野店,area-2,関東地方,area-13,東京,COSME,,,,
コスメロフトグランスタ東京店,area-2,関東地方,area-13,東京,,SKINCARE,,,
コスメロフトnonowa国立店,area-2,関東地方,area-13,東京,,SKINCARE,,,
