id,shopname,area,prefecture
1,アインズ＆トルペ 地下街店,北海道・東北地方,北海道
2,アットコスメストア TSUTAYA 函館蔦屋書店,北海道・東北地方,北海道
3,アットコスメストア TSUTAYA 札幌美しが丘店,北海道・東北地方,北海道
4,ハンズ札幌店,北海道・東北地方,北海道
5,ロフト青森店,北海道・東北地方,青森
6,ロフト弘前店,北海道・東北地方,青森
7,盛岡ロフト,北海道・東北地方,岩手
8,秋田ロフト,北海道・東北地方,秋田
9,アリー秋田店,北海道・東北地方,秋田
10,仙台ロフト,北海道・東北地方,宮城
11,仙台長町ロフト,北海道・東北地方,宮城
12,ローズマリー宇都宮インターパーク店,関東地方,栃木
13,宇都宮インターパークロフト,関東地方,栃木
14,宇都宮ロフト,関東地方,栃木
15,前橋ロフト,関東地方,群馬
16,伊勢崎ロフト,関東地方,群馬
17,R.O.U水戸内原店 ビューティケア売場,関東地方,茨城
18,水戸ロフト,関東地方,茨城
19,R.O.Uイオンレイクタウン店,関東地方,埼玉
20,シャンドエルブ 熊谷店,関東地方,埼玉
21,大宮ロフト,関東地方,埼玉
22,ロフト大宮宮原店,関東地方,埼玉
23,川越ロフト,関東地方,埼玉
24,浦和ロフト,関東地方,埼玉
25,鷲宮ロフト,関東地方,埼玉
26,所沢ロフト,関東地方,埼玉
27,川口ロフト,関東地方,埼玉
28,深谷ロフト,関東地方,埼玉
29,アインズ＆トルペ ペリエ海浜幕張店,関東地方,千葉
30,ロフト幕張店,関東地方,千葉
31,インキューブ イオンモール千葉ニュータウン店,関東地方,千葉
32,雑貨館インキューブ ユニモちはら台店,関東地方,千葉
33,流山ロフト,関東地方,千葉
34,アリー成田店,関東地方,千葉
35,千葉ロフト,関東地方,千葉
36,新三郷ロフト,関東地方,千葉
37,市原ロフト,関東地方,千葉
38,柏沼南ロフト,関東地方,千葉
39,船橋ロフト,関東地方,千葉
40,市川ロフト,関東地方,千葉
41,アインズ＆トルペ ペリエ海浜幕張店,関東地方,千葉
42,アインズ＆トルペ 新宿東口店,関東地方,東京
